ensembl_gene_id,lof.oe_v4.1,mis_pphen.oe_v4.1,shannon_entropy,Transcript count,Gene length (bp),Unique exon count,%id. query gene identical to target Mouse gene,Mouse Gene-order conservation score,Gene % GC content,N complexes,go_id_num,pfam_num
ENSG00000121410,1.0454,1.1543,2.277439172712293,7,8315,25,43.9453,0.0,55.8,0,10.0,1.0
ENSG00000148584,0.6432,0.85287,2.374652624127424,9,86267,32,92.1008,50.0,36.24,0,20.0,2.0
ENSG00000175899,0.64522,0.72473,3.536762006004764,13,48566,81,72.4559,75.0,37.18,1,19.0,7.0
ENSG00000166535,0.83042,0.86913,1.4797687591233215,9,64381,57,,,44.23,0,7.0,7.0
ENSG00000184389,1.0219,1.6491,3.8444509759412218,1,14333,5,63.5135,100.0,54.19,0,12.0,1.0
ENSG00000128274,0.61633,0.99409,3.8196430543942936,7,29178,15,76.0446,100.0,52.39,0,12.0,2.0
ENSG00000118017,0.70072,0.82018,3.177212040911169,1,8678,3,70.9677,100.0,42.68,0,13.0,2.0
ENSG00000094914,0.74437,0.85044,4.100555027452737,22,17409,78,93.5897,100.0,49.39,1,24.0,1.0
ENSG00000081760,0.78685,0.86195,3.987734837546245,12,77900,55,89.881,100.0,51.2,0,10.0,2.0
ENSG00000114771,0.74131,0.98231,2.242710087301045,2,14416,7,69.8492,100.0,35.3,0,14.0,1.0
ENSG00000197953,1.0541,0.99034,1.0018853968893768,2,27424,9,79.0524,100.0,35.3,0,5.0,1.0
ENSG00000188984,0.73695,0.97224,0.966483015657278,2,12651,7,62.0098,50.0,46.11,0,3.0,1.0
ENSG00000204518,0.60894,1.0133,3.1183840879505564,1,22992,4,63.9706,100.0,47.36,0,3.0,1.0
ENSG00000204518,0.60894,1.0133,3.1183840879505564,1,22992,4,61.4251,0.0,47.36,0,3.0,1.0
ENSG00000204518,0.60894,1.0133,3.1183840879505564,1,22992,4,65.1106,0.0,47.36,0,3.0,1.0
ENSG00000204518,0.60894,1.0133,3.1183840879505564,1,22992,4,64.6192,100.0,47.36,0,3.0,1.0
ENSG00000204518,0.60894,1.0133,3.1183840879505564,1,22992,4,61.3232,100.0,47.36,0,3.0,1.0
ENSG00000109576,0.39335,0.59977,3.983364688893468,8,31478,31,73.6471,100.0,38.78,0,16.0,1.0
ENSG00000103591,0.83853,1.3074,4.161422855377581,7,54529,32,85.443,100.0,39.47,0,5.0,1.0
ENSG00000115977,0.29613,0.63299,4.035133800757555,13,216353,53,91.9708,100.0,41.95,0,46.0,2.0
ENSG00000087884,1.0119,1.0634,4.028641835459125,11,97324,26,91.8033,100.0,41.82,0,3.0,1.0
